text,font_size,is_bold,is_italic,page,cap_ratio,line_length,word_count,x_pos_norm,y_pos_norm,relative_font_size,indentation,starts_with_number,ends_with_colon,all_caps,vertical_spacing_above,vertical_spacing_below,label
Application form for grant of LTC advance,11.670000076293945,1,0,1,0.0975609756097561,41,7,0.33589916068966647,0.1259838022698699,1.1976109403406465,199.86000061035156,0,0,0,0.0,13.890396118164062,Body
Name of the Government Servant,9.744400024414062,0,0,1,0.1,30,5,0.16134212718290442,0.15794831047148716,1.0,95.99856567382812,0,0,0,13.890396118164062,-8.808929443359375,Body
1.,9.744400024414062,1,0,1,0.0,2,1,0.11768066662700237,0.16144333429404506,1.0,70.0199966430664,1,0,0,-8.808929443359375,3.361846923828125,Body
Designation,9.744400024414062,0,0,1,0.09090909090909091,11,1,0.16134212718290442,0.1793929618781083,1.0,95.99856567382812,0,0,0,3.361846923828125,-8.750457763671875,Body
2.,9.744400024414062,1,0,1,0.0,2,1,0.11768066662700237,0.18295742950077012,1.0,70.0199966430664,1,0,0,-8.750457763671875,3.361846923828125,Body
Date of entering the Central Government,9.744400024414062,0,0,1,0.07692307692307693,39,6,0.16134212718290442,0.20090705708483336,1.0,95.99856567382812,0,0,0,3.361846923828125,0.009735107421875,Body
3.,9.744400024414062,1,0,1,0.0,2,1,0.11768066662700237,0.21487555424561128,1.0,70.0199966430664,1,0,0,0.009735107421875,-5.934295654296875,Body
Service,9.744400024414062,0,0,1,0.14285714285714285,7,1,0.16134212718290442,0.22178463244947855,1.0,95.99856567382812,0,0,0,-5.934295654296875,6.363067626953125,Body
PAY + SI + NPA,9.744400024414062,0,0,1,0.5714285714285714,14,5,0.16134212718290442,0.24329865516789453,1.0,95.99856567382812,0,0,1,6.363067626953125,-8.808929443359375,Body
4.,9.744400024414062,1,0,1,0.0,2,1,0.11768066662700237,0.24679367899045243,1.0,70.0199966430664,1,0,0,-8.808929443359375,3.361846923828125,Body
Whether permanent or temporary,9.744400024414062,0,0,1,0.03333333333333333,30,4,0.16134212718290442,0.26474330657451567,1.0,95.99856567382812,0,0,0,3.361846923828125,-8.750457763671875,Body
5.,9.744400024414062,1,0,1,0.0,2,1,0.11768066662700237,0.2683077741971775,1.0,70.0199966430664,1,0,0,-8.750457763671875,3.430023193359375,Body
6.,9.744400024414062,1,0,1,0.0,2,1,0.11768066662700237,0.28633837122248923,1.0,70.0199966430664,1,0,0,3.430023193359375,-11.751739501953125,Body
Home Town as recorded in the Service Book,9.744400024414062,0,0,1,0.0975609756097561,41,8,0.16134212718290442,0.28633837122248923,1.0,95.99856567382812,0,0,0,-11.751739501953125,0.428802490234375,Body
